Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A01004_001,SE_A01004_002,SE_A01004_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A11001_001,SE_A11001_002,SE_A11001_003,SE_A11001_004,SE_A11001_005,SE_A11001_006,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012,SE_A10057_001,SE_A10034_001,SE_A10034_002,SE_A10034_003,SE_A10034_004,SE_A10034_005,SE_A10034_006,SE_A10034_007,SE_A10034_008,SE_A10036_001,SE_A18009_001,SE_A18003_001,SE_A10037_001,SE_A10037_002,SE_A10037_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005
"06037207301","14000US06037207301","Census Tract 2073.01","Census Tract 2073.01, Los Angeles County, California","ca","140","00","ACSSF","0004410",,,,,"06","037",,,,"207301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806,4806,28940.57,0.166064475974406,4806,2777,2029,4806,115,0,0,94,254,1302,1212,555,555,502,162,55,39.8,42.1,36.8,4806,2453,827,31,672,0,518,305,4806,3808,1983,827,0,672,0,50,276,998,470,0,31,0,0,468,29,3492,592,539,53,39,14,2900,1776,1124,4691,2614,1148,57,86,786,4343,572,455,1092,1477,465,148,134,50,0,50,52581,4118,3492,112,3380,4118,3492,626,626,557,0,69,4118,103,89,14,0,0,0,54,524,3406,0,31,0,3492,583,2245,0,0,15,15,634,663500,1578,29.8999996185303,12.8000001907349,12.8000001907349,,592,53,0,39,0,0,0,14,0,14,539,4806,493,103,566,375,269,3000,4806,1162,644,1806,3000,4806,3308,1498,783,715
"06037207302","14000US06037207302","Census Tract 2073.02","Census Tract 2073.02, Los Angeles County, California","ca","140","00","ACSSF","0004411",,,,,"06","037",,,,"207302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4556,4556,46067.06,0.0988992999195363,4556,2686,1870,4556,0,64,34,0,238,1821,1037,688,402,244,13,15,35.7,36.6,33.1,4556,2121,823,60,767,0,346,439,4556,3887,1905,823,35,767,0,39,318,669,216,0,25,0,0,307,121,3163,516,386,130,119,11,2647,1705,942,4458,2716,875,351,77,439,4220,306,356,1071,1600,734,84,69,1,0,1,39809,3723,3163,196,2967,3723,3163,560,560,330,0,230,3723,13,13,0,0,0,103,0,256,3351,0,0,0,3163,600,2221,26,0,0,23,293,500000,1748,30.1000003814697,26.7000007629395,28.5,17.8999996185303,516,89,45,44,0,0,0,0,0,0,427,4555,532,306,333,371,198,2815,4555,1171,569,1740,2815,4556,3603,953,386,567
"06037207502","14000US06037207502","Census Tract 2075.02","Census Tract 2075.02, Los Angeles County, California","ca","140","00","ACSSF","0004414",,,,,"06","037",,,,"207502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2851,2851,17649.24,0.161536655768289,2851,1364,1487,2851,29,0,11,0,36,644,248,236,182,309,742,414,66.9,45.9,77.9,2851,692,298,0,1662,0,96,103,2851,2707,644,298,0,1662,0,0,103,144,48,0,0,0,0,96,0,2187,430,430,0,0,0,1757,787,970,2811,791,1037,48,686,249,2775,638,325,510,607,427,201,67,0,0,0,19380,2334,2187,0,2187,2334,2187,147,147,113,0,34,2334,17,8,9,9,30,11,0,10,2257,0,0,1984,2187,272,1799,0,0,0,0,116,,471,28,,,,430,19,0,19,0,0,0,0,0,0,411,2851,99,103,800,328,205,1316,2851,1002,533,1535,1316,2851,997,1854,1423,431
"06037207710","14000US06037207710","Census Tract 2077.10","Census Tract 2077.10, Los Angeles County, California","ca","140","00","ACSSF","0004415",,,,,"06","037",,,,"207710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4350,4350,10231.01,0.425178031712888,4350,2335,2015,4350,155,24,47,44,438,1605,838,415,263,135,266,120,34.3,35.2,33.3,4350,1787,372,0,1759,0,330,102,4350,3693,1486,367,0,1749,0,0,91,657,301,5,0,10,0,330,11,2940,580,461,119,42,77,2360,1344,1016,4124,2430,1012,73,268,341,3642,295,349,477,1432,458,335,296,49,0,49,90667,3483,2940,412,2528,3483,2940,543,543,342,51,150,3483,31,0,31,0,20,0,33,79,3320,0,0,1982,2940,545,2173,12,0,0,0,210,795500,2429,30.2999992370605,25.7000007629395,26.8999996185303,9,580,121,38,83,0,0,0,0,0,0,459,4316,461,113,404,196,232,2910,4316,978,428,1406,2910,4350,2698,1652,908,744
"06037208710","14000US06037208710","Census Tract 2087.10","Census Tract 2087.10, Los Angeles County, California","ca","140","00","ACSSF","0004426",,,,,"06","037",,,,"208710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4622,4622,70260.15,0.0657840885749278,4622,2154,2468,4622,209,217,272,111,212,759,843,686,773,373,95,72,41.7,41.5,41.8,4622,568,167,1,2789,0,1000,97,4622,3300,282,167,1,2773,0,15,62,1322,286,0,0,16,0,985,35,2004,1131,756,375,48,327,873,391,482,3924,1584,1652,68,243,377,3601,351,757,862,1287,220,26,98,179,0,179,59429,2110,2004,306,1698,2110,2004,106,106,14,7,85,2110,38,28,10,29,0,83,222,697,1041,0,0,1973,2004,802,1026,0,0,0,0,176,373800,1312,30.3999996185303,23.7999992370605,29.7000007629395,13.1999998092651,1131,103,15,39,0,0,0,49,43,6,1028,4622,203,129,181,528,277,3304,4622,513,805,1318,3304,4622,1711,2911,1454,1457
"06037208720","14000US06037208720","Census Tract 2087.20","Census Tract 2087.20, Los Angeles County, California","ca","140","00","ACSSF","0004427",,,,,"06","037",,,,"208720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4338,4338,68202.27,0.0636049278992798,4338,2277,2061,4338,275,283,279,286,365,865,916,490,338,118,91,32,33.2,32.5,33.7,4338,2008,134,0,224,0,1972,0,4338,869,511,134,0,224,0,0,0,3469,1497,0,0,0,0,1972,0,1573,919,451,468,107,361,654,446,208,3501,2285,957,67,13,179,2850,1199,706,425,432,55,33,0,264,34,230,26463,1681,1573,29,1544,1681,1573,108,108,91,0,17,1681,67,41,26,0,39,25,254,815,481,0,0,0,1573,748,450,17,0,0,19,339,,861,35.7999992370605,,,,919,419,106,37,61,61,0,215,181,34,500,4338,523,666,691,713,565,1180,4338,1880,1278,3158,1180,4338,1898,2440,526,1914
"06037208801","14000US06037208801","Census Tract 2088.01","Census Tract 2088.01, Los Angeles County, California","ca","140","00","ACSSF","0004428",,,,,"06","037",,,,"208801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2942,2942,32528.95,0.0904425039807134,2942,1542,1400,2942,121,155,120,92,271,619,363,475,177,250,243,56,37.2,35.5,43.2,2942,930,183,0,675,0,1060,94,2942,1204,305,176,0,660,0,8,55,1738,625,7,0,15,0,1052,39,1241,526,197,329,131,198,715,388,327,2546,1705,531,41,166,103,2183,914,403,369,371,95,24,7,110,0,110,32567,1358,1241,0,1241,1358,1241,117,117,65,0,52,1358,0,0,0,62,11,17,123,497,648,0,0,1945,1241,397,655,0,0,0,34,155,,1039,33.9000015258789,,,,526,136,36,31,28,28,0,41,21,20,390,2909,183,283,441,535,426,1041,2909,907,961,1868,1041,2942,1163,1779,611,1168
"06037208802","14000US06037208802","Census Tract 2088.02","Census Tract 2088.02, Los Angeles County, California","ca","140","00","ACSSF","0004429",,,,,"06","037",,,,"208802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3533,3533,43265.46,0.0816586794996734,3533,1650,1883,3533,325,135,209,89,352,743,441,440,376,210,158,55,34.2,34.7,31.3,3533,896,208,0,807,0,1453,169,3533,1465,370,200,0,807,0,9,79,2068,526,8,0,0,0,1444,90,1466,711,425,286,146,140,755,394,361,2864,1456,954,24,163,267,2423,740,445,443,654,133,0,8,84,18,66,32784,1563,1466,29,1437,1563,1466,97,97,50,0,47,1563,74,20,54,22,72,63,142,603,587,0,0,1946,1466,725,456,0,0,8,35,242,741700,1081,36.2000007629395,34.7000007629395,,,711,120,19,6,50,50,0,45,45,0,591,3533,312,59,455,510,709,1488,3533,826,1219,2045,1488,3533,1538,1995,799,1196
"06037208902","14000US06037208902","Census Tract 2089.02","Census Tract 2089.02, Los Angeles County, California","ca","140","00","ACSSF","0004430",,,,,"06","037",,,,"208902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2823,2823,39726.03,0.0710617192048766,2823,1808,1015,2823,292,141,184,78,308,623,640,220,231,42,44,20,30.5,31.1,27.9,2823,1013,48,75,158,0,1491,38,2823,238,32,48,0,158,0,0,0,2585,981,0,75,0,0,1491,38,704,453,185,268,85,183,251,208,43,2206,1346,629,119,53,59,1820,1342,211,122,115,30,0,0,84,9,75,34911,752,704,0,704,752,704,48,48,14,0,34,752,10,10,0,0,0,21,41,273,399,0,8,1972,704,218,273,0,0,0,0,213,,1027,33.9000015258789,,,,453,141,68,3,9,9,0,61,61,0,312,2711,264,342,353,789,292,671,2711,959,1081,2040,671,2823,949,1874,185,1689
"06037208903","14000US06037208903","Census Tract 2089.03","Census Tract 2089.03, Los Angeles County, California","ca","140","00","ACSSF","0004431",,,,,"06","037",,,,"208903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4212,4212,68486.2,0.0615014432499301,4212,2589,1623,4212,330,283,247,86,624,897,764,270,366,183,71,91,30.7,30.2,32,4212,2001,245,45,183,0,1678,60,4212,799,267,245,8,183,0,36,60,3413,1734,0,37,0,0,1642,0,1143,722,211,511,208,303,421,299,122,3352,2316,663,95,136,142,2642,1628,509,334,157,14,0,0,159,19,140,28299,1224,1143,8,1135,1224,1143,81,81,48,0,33,1224,17,17,0,0,9,35,291,604,268,0,0,1957,1143,527,323,0,8,0,0,285,,955,35.2999992370605,,,,722,337,83,17,20,0,20,217,199,18,385,3974,765,528,478,563,606,1034,3974,1771,1169,2940,1034,4212,1827,2385,180,2205
"06037209102","14000US06037209102","Census Tract 2091.02","Census Tract 2091.02, Los Angeles County, California","ca","140","00","ACSSF","0004433",,,,,"06","037",,,,"209102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5734,5734,48716.05,0.117702475841587,5734,3391,2343,5734,447,387,395,118,707,1391,812,651,350,281,139,56,29.9,29.7,30.2,5734,2321,502,73,675,0,2057,106,5734,1476,265,476,0,675,0,0,60,4258,2056,26,73,0,0,2057,46,2082,1131,534,597,235,362,951,599,352,4505,2499,1187,228,186,405,3680,1781,593,563,651,63,29,0,189,34,155,26559,2131,2082,68,2014,2131,2082,49,49,34,0,15,2131,25,0,25,24,19,28,217,1008,810,0,0,1958,2082,723,777,0,0,0,13,569,451900,871,36.4000015258789,41.0999984741211,41.0999984741211,,1131,424,108,51,56,56,0,209,209,0,707,5734,648,1246,740,651,994,1455,5734,2634,1645,4279,1455,5734,2501,3233,607,2626
"06037209200","14000US06037209200","Census Tract 2092","Census Tract 2092, Los Angeles County, California","ca","140","00","ACSSF","0004436",,,,,"06","037",,,,"209200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4356,4356,27436.74,0.158765214356206,4356,2431,1925,4356,174,158,292,125,586,1323,646,386,398,176,77,15,30.4,30.3,30.5,4356,1459,335,0,1190,79,1074,219,4356,2820,1029,317,0,1176,79,0,219,1536,430,18,0,14,0,1074,0,2051,818,525,293,122,171,1233,794,439,3732,1980,1242,39,70,401,3021,457,404,579,887,482,125,87,133,0,133,46393,2381,2051,135,1916,2381,2051,330,330,235,0,95,2381,50,50,0,0,0,8,62,578,1683,0,0,2001,2051,648,1199,0,0,9,18,177,610100,1941,34.2999992370605,24.7999992370605,24.7999992370605,,818,142,72,17,13,13,0,40,40,0,676,4356,501,168,441,740,503,2003,4356,1110,1243,2353,2003,4356,2539,1817,691,1126
"06037209300","14000US06037209300","Census Tract 2093","Census Tract 2093, Los Angeles County, California","ca","140","00","ACSSF","0004437",,,,,"06","037",,,,"209300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4684,4684,39604.67,0.118268887732298,4684,2388,2296,4684,333,274,284,165,710,948,679,532,441,197,104,17,29.5,33.3,28.5,4684,1797,273,40,578,0,1841,155,4684,1357,447,262,9,561,0,0,78,3327,1350,11,31,17,0,1841,77,1939,867,456,411,123,288,1072,750,322,3793,2199,1157,169,75,193,2918,1244,424,587,517,93,18,35,302,19,283,27972,2224,1939,36,1903,2224,1939,285,285,112,0,173,2224,83,18,65,17,17,110,150,764,1074,9,0,1990,1939,505,933,0,0,0,0,501,347100,985,38.0999984741211,35.5999984741211,,,867,378,115,19,61,61,0,183,158,25,489,4684,865,503,652,415,612,1637,4684,2020,1027,3047,1637,4684,2382,2302,573,1729
"06037209401","14000US06037209401","Census Tract 2094.01","Census Tract 2094.01, Los Angeles County, California","ca","140","00","ACSSF","0004438",,,,,"06","037",,,,"209401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4428,4428,53177.47,0.0832683394672099,4428,2314,2114,4428,224,458,335,246,411,609,688,626,327,277,125,102,32.9,32.4,33.3,4428,1798,394,124,519,6,1466,121,4428,1239,313,326,0,509,6,0,85,3189,1485,68,124,10,0,1466,36,1531,884,460,424,73,351,647,357,290,3411,1737,1071,105,210,288,2754,1173,757,483,266,75,0,0,235,14,221,24854,1636,1531,9,1522,1636,1531,105,105,74,0,31,1636,110,47,63,30,27,79,256,620,514,0,0,1950,1531,449,695,0,0,0,0,387,,880,35.5,,,,884,363,167,26,4,0,4,166,160,6,521,4178,430,690,767,821,630,840,4178,1887,1451,3338,840,4428,2160,2268,474,1794
"06037209402","14000US06037209402","Census Tract 2094.02","Census Tract 2094.02, Los Angeles County, California","ca","140","00","ACSSF","0004439",,,,,"06","037",,,,"209402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3945,3945,74999.1,0.0526006298098678,3945,2626,1319,3945,260,333,192,195,499,1016,649,385,218,150,21,27,29.7,29.8,28.8,3945,1467,125,76,53,0,2224,0,3945,335,262,29,0,44,0,0,0,3610,1205,96,76,9,0,2224,0,1196,771,200,571,330,241,425,324,101,3160,2262,657,36,118,87,2466,1815,332,152,125,8,17,17,239,89,150,31037,1311,1196,25,1171,1311,1196,115,115,54,14,47,1311,35,17,18,0,0,16,181,630,449,0,0,0,1196,591,249,0,0,0,0,356,,861,36,51,,,771,393,106,39,96,96,0,152,122,30,378,3945,836,466,583,711,677,672,3945,1885,1388,3273,672,3945,1230,2715,157,2558
